x, z_0, z_1, z_2
1.839999, 1.008448, 0.896979, 0.183155
1.849999, 1.017427, 0.898798, 0.180634
1.859999, 1.026424, 0.900592, 0.178134
1.869999, 1.035439, 0.902361, 0.175655
1.879999, 1.044471, 0.904105, 0.173196
1.889999, 1.053521, 0.905825, 0.170759
1.899999, 1.062587, 0.907520, 0.168342
1.909999, 1.071671, 0.909192, 0.165946
1.919999, 1.080771, 0.910839, 0.163572
1.929999, 1.089888, 0.912463, 0.161218
1.939999, 1.099020, 0.914064, 0.158886
1.949998, 1.108169, 0.915641, 0.156574
1.959998, 1.117333, 0.917195, 0.154284
1.969998, 1.126513, 0.918727, 0.152015
1.979998, 1.135708, 0.920236, 0.149768
1.989998, 1.144917, 0.921722, 0.147541
1.999998, 1.154142, 0.923187, 0.145336
2.009999, 1.163381, 0.924629, 0.143152
2.019999, 1.172634, 0.926050, 0.140990
2.029999, 1.181902, 0.927449, 0.138849
2.039999, 1.191183, 0.928827, 0.136729
2.049999, 1.200479, 0.930184, 0.134630
2.059999, 1.209787, 0.931519, 0.132553
2.069999, 1.219109, 0.932835, 0.130497
2.079998, 1.228444, 0.934129, 0.128463
2.089998, 1.237791, 0.935404, 0.126449
2.099998, 1.247152, 0.936659, 0.124457
2.109998, 1.256525, 0.937893, 0.122486
2.119998, 1.265910, 0.939108, 0.120537
2.129998, 1.275307, 0.940304, 0.118608
2.139998, 1.284716, 0.941481, 0.116701
2.149998, 1.294136, 0.942638, 0.114814
2.159998, 1.303568, 0.943777, 0.112949
2.169998, 1.313012, 0.944897, 0.111104
2.179998, 1.322466, 0.945999, 0.109281
2.189998, 1.331932, 0.947083, 0.107478
2.199998, 1.341408, 0.948149, 0.105697
2.209998, 1.350895, 0.949197, 0.103936
2.219998, 1.360392, 0.950228, 0.102195
2.229998, 1.369899, 0.951241, 0.100476
2.239998, 1.379416, 0.952237, 0.098776
2.249998, 1.388944, 0.953216, 0.097098
2.259998, 1.398481, 0.954179, 0.095440
2.269998, 1.408027, 0.955125, 0.093802
2.279998, 1.417583, 0.956055, 0.092184
2.289998, 1.427148, 0.956969, 0.090586
2.299998, 1.436723, 0.957867, 0.089009
2.309998, 1.446306, 0.958749, 0.087451
